 Ì05 50 
 Ì06 156 
 Ì12 204 
 Ì13 23 
 Ì16 85 
 Ì21 26 
 Ì23 10 
 Ì24 104 
 Ì47 21 
 Ì49 185 
 Ì53 73 
 Ì55 90 
 Ì60 156 
 Ì61 99 
 Ì62 11 
 Ì64 10 
 Ì67 12 
 Ì70 50 
 Ì72 79 
 Ì80 12 
 Ì81 22 
 Ì83 13 
 Ì85 192 
 Ì86 42 
 Ì87 20 
 Ì91 49 
 Ì98 182 
 Ì03 19 
 Ì04 18 
 Ì05 42 
 Ì08 149 
 Ì10 20 
 Ì13 18 
 Ì18 69 
 Ì22 26 
 Ì26 23 
 Ì28 178 
 Ì35 151 
 Ì41 161 
 Ì42 163 
 Ì44 25 
 Ì47 21 
 Ì49 139 
 Ì55 70 
 Ì58 44 
 Ì62 9 
 Ì68 41 
 Ì69 41 
 Ì75 46 
 Ì81 18 
 Ì83 11 
 Ì91 44 
 Ì99 12 
 Ì02 26 
 Ì13 19 
 Ì18 89 
 Ì23 10 
 Ì26 21 
 Ì30 12 
 Ì34 83 
 Ì41 159 
 Ì50 19 
 Ì53 74 
 Ì57 10 
 Ì62 13 
 Ì64 13 
 Ì77 22 
 Ì80 9 
 Ì81 26 
 Ì86 52 
 Ì89 22 
 Ì93 170 
 Ì95 158 
 Ì97 88 
 Ì01 19 
 Ì04 19 
 Ì06 196 
 Ì12 182 
 Ì17 71 
 Ì19 20 
 Ì20 146 
 Ì22 21 
 Ì36 151 
 Ì38 25 
 Ì41 158 
 Ì42 196 
 Ì44 24 
 Ì56 177 
 Ì58 39 
 Ì59 159 
 Ì64 10 
 Ì68 46 
 Ì70 35 
 Ì75 47 
 Ì76 101 
 Ì83 10 
 Ì86 38 
 Ì89 21 
 Ì91 35 
 Ì96 93 
 Ì97 82 
 Ì11 151 
 Ì38 25 
 Ì39 44 
 Ì41 204 
 Ì44 18 
 Ì53 90 
 Ì54 46 
 Ì59 187 
 Ì63 11 
 Ì68 36 
 Ì70 45 
 Ì71 19 
 Ì80 10 
 Ì81 24 
 Ì85 152 
 Ì91 48 
 Ì95 140 
 Ì99 12 
 Ì01 20 
 Ì09 11 
 Ì11 182 
 Ì14 9 
 Ì15 9 
 Ì16 95 
 Ì19 19 
 Ì20 189 
 Ì27 39 
 Ì33 42 
 Ì34 74 
 Ì42 152 
 Ì45 41 
 Ì53 104 
 Ì55 94 
 Ì56 165 
 Ì60 184 
 Ì67 12 
 Ì72 72 
 Ì75 38 
 Ì88 10 
 Ì89 22 
 Ì91 39 
 Ì94 192 
 Ì09 12 
 Ì11 187 
 Ì13 21 
 Ì17 95 
 Ì22 23 
 Ì23 13 
 Ì32 23 
 Ì38 22 
 Ì43 19 
 Ì44 26 
 Ì53 81 
 Ì62 12 
 Ì69 41 
 Ì72 94 
 Ì75 46 
 Ì82 100 
 Ì86 51 
 Ì90 12 
 Ì94 201 
 Ì95 158 
 Ì97 73 
